id,titulo,autor,saga,orden_saga,genero,editorial,formato,edicion_especial,detalles_edicion,valoracion_personal,resena_personal,estado,paginas_total,paginas_leidas,fecha_inicio,fecha_fin,tiempo_lectura_min,cita_favorita,etiquetas,imagen_portada_url
LIB0078,Heartstopper 2,Alice Oseman,Heartstopper,2.0,Cómics,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0079,Heartstopper 3,Alice Oseman,Heartstopper,3.0,Cómics,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0080,Heartstopper 4,Alice Oseman,Heartstopper,4.0,Cómics,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0081,Heartstopper 5,Alice Oseman,Heartstopper,5.0,Cómics,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0082,Nick y Charlie,Alice Oseman,Heartstopper Novellas,1.0,Juvenil,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0083,Solitaire,Alice Oseman,,,Juvenil,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0084,Radio Silencio,Alice Oseman,,,Juvenil,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0085,Nací para esto,Alice Oseman,,,Juvenil,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0086,Loveless,Alice Oseman,,,Juvenil,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0087,Este invierno,Alice Oseman,Heartstopper Novellas,2.0,Juvenil,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0088,Evelyn Hugo,T. Jenkins Reid,,,Ficción,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0089,Daisy Jones & The Six,T. Jenkins Reid,,,Ficción,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0090,Malibú renace,T. Jenkins Reid,,,Ficción,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0091,Carrie Soto ha vuelto,T. Jenkins Reid,,,Ficción,,Tapa blanda,0,,,,Leído,0,0,,,0,,,https://books.google.com/books/content?id=gE7FEQAAQBAJ&printsec=frontcover&img=1&zoom=0&edge=curl&source=gbs_api
LIB0092,Icebreaker,Hannah Grace,Maple Hills,1.0,Romance,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
